Hotel_name,name,rating,review
Travello Hotel,Nurul Akbar Syakur,3.0,"We stay for 2 nights and here are my reviews: Pros: 1. The breakfast is tasty 2. The lobby's setting is great 3. easy to park a car in the basement 4. All the staffs are friendly 5. Quiet place. good for the family 6. Stroller-friendly environment 7. High chair available in the restaurant Cons: 1. Not enough lights in the room 2. The room's setting is average 3. Smokers are allowed to smoke in the restaurant during breakfast, although separate section, the people inside could smell it. Not recommended for those who bring children 4. Swimming pool is too small 5. The hot water is not that hot"
Travello Hotel,RAHANDI BUDIMAN,5.0,Simple and nice hotel with complete facility
Travello Hotel,AldriansyahD,4.0,Modern style. Lobby concept and ambience is very good. Make you dont want to leave it. Room is comfy and the concept is also nice. Has a sofa with large window behind it. View in the morning from room is great. Breakfast is ok. There's a small pool after restaurant. The hotel also have a bar in rooftop.
Travello Hotel,Mariska Szabo,3.0,"A great hotel to stay in the Setiabudi area of Bandung. Very modern and sleek. The rooms are relatively big, and the shower room's size is quite acceptable as well. The hot water isn't that hot though, which is a bit disappointing considering Bandung's weather. Also, the breakfast is quite lacking in terms of protein availability. And for some weird reason, the elevator doesn't go until the basement level. Another warning I should mention is the basement parking area; the entrance is extremely steep - try to park your car near the lobby instead."
Travello Hotel,Ichsan Rahmany,4.0,"Decent four star hotel with basic facilities, a great view and tiny swimming pool. Need to be extra mindful of the bedsheets as we found ours had some stains in it. And we had to request a make over. The toiletries we also below standard, with the shampoo smelling something like fabric detergent. Had to buy my own shampoo cause the hotel shampoo caused hair fall. Breakfast service starts at 6:00, however, we found that the egg station was manned at 7:30, and by that time the dining area was too crowded. For dinner we ordered room service, but for some reason the operator gave us the wrong pricing (before taxes) that caused a mild confusion. Need to improve some areas of it's services."
Travello Hotel,Darmawan Said,5.0,Nice hotel. Near to many famous destination in Lembang and Dago. Recommended if you will to go to some place in Lembang and Dago.
Travello Hotel,Mudy S,4.0,"Nice hotel, spacy rooms, not optimized for business travelers. Clean and smooth as stars hotel. Starbucks just next door. Great for meetings and venues. There's a very small swimming pool. Bathroom shower is very low pressure. One of the best around Setiabudi road."
Travello Hotel,The Cloud89,5.0,"Visited this hotel for the first time. The room was really clean and cozy. A hotel with modern design which make feel so comfortable. Room facility was quite complete. They are having nice staff, very polite and friendly. Very impressive with food menu for breakfast, variety of foods were many and all of them were have good taste. Nice experience stayed in this hotel. Hope to go back here someday."
Travello Hotel,Vikas Tyagi,3.0,"The hotel was good, bad over all experience because of the way reservation was handled. We booked room with children's and were given a room just with a single king bed. We also had booked with breakfast option and we were forced to pay extra for kids breakfast. So basically we paid full and got charged again."
Travello Hotel,Intan Farida,3.0,"The staff is friendly and helpful. The access to basement is by walk only, make it difficult to carry luggages. The room is clean and comfortable although it will be more convenient if the put a carpet or a rug on the floor. The sofa could be bigger in deluxe room."
Travello Hotel,Rifa'atul Maulidah,4.0,"Near to UPI campus, quiet and comfortable for your business trip"
Travello Hotel,Anita Agustina,1.0,"The room is dirty, there was a dot of blood in our bedcover, and the sheet seems to be dirty as well. It claims to be a non smoking hotel but our room had cigarette smokes real bad. We had to switch rooms two times to finally get at least a less smelly one. Breakfast was just okay even though some of the food taste bare."
Travello Hotel,roy primera,3.0,"I stayed at the hotel for a business meeting. The hotel is quite far from city center so I would not suggest staying there if you are on a business trip except other activities are to be done around the area. A cozy hotel for business meeting and vacations. The bed is ok, but the room lighting was not bright enough to work. Amenities are up to standard. Buffet Breakfast was included and many selections were available. Make sure you order double or triple eggs because their standard is only one egg per person for breakfast. The coffee shop closed early at 11pm. The road outside the hotel has no pedestrian walk, be very careful when walking around outside to get coffee or shopping. Its a fast lane with fast vehicles, very scary to walk on the road. Overall the hotel is ok, but since the room lighting is too dark I might put this hotel as an alternative place to stay only while traveling to Bandung."
Travello Hotel,I Wayan Adisaputra,5.0,"Sorry for my late review. I was staying here for 2 nights at end of January 2019 for a short business-leisure trip to Bandung. Booked 2 standard rooms for my family at that time. I was arrive on Thursday and the hotel was very quiet at the time. It wasn't holiday season and during weekday time, so its pretty much normal for hotel in touristy area like Bandung for having lower occupancy at the time like that. And actually I like it when the hotel is not fully crowded by guest, you can enjoy the hotel more privately although its probably not good for the hotel business.. hahaha.. And here is the summary of my stay here. Pros: - This hotel already took my attention for a while, couple of times passing by, the building facade always attract me. You can also see from the picture in internet and instagram that Travello Hotel has a nice design inside, and yes it has great lobby with very high ceiling, a lot of sofa and lounger to relax or wait for check-in/out process. Its quite instagramable lobby to take a couple of shot here (check some on instagram @rheta.the.traveler.baby). - I was arrive early at that time so to spend time waiting for the room to be ready, we took a quick lunch beside their pool in the ground floor (same floor as lobby) and the F&B prices is very reasonable and not expensive for a 4-star hotel. Food taste and portion also pretty good. - Location wise actually depend on your purpose of stay. If you're planning to spend moat of your time on north Bandung area or Lembang, it is a great choice of place to stay. Very close to Terminal Ledeng (less than a km) its situated right on the entrance to Lembang area. Also near to UPI and setiabudhi area where FO and restaurant located. But if your activity mostly in the Bandung city center or Dago area, staying in this hotel especially on holiday season could be tricky. Most of the time the road in front of the hotel (Jl.Setiabudhi) that going up to Lembang is jammed with traffic although the other direction is pretty empty. You can easily leave the hotel and going south to Bandung City Center or Dago or Cihampelas area, but going back is totally different case. - Room has spectacular view especially on high floor (I always recommend to get high floor room when you stay in a hotel, its offer better view most of the time). You can see Bandung city landscape from above or looking the mountainous north Bandung area depend on your side of the room. Both are spectacular view to have from your bedroom window. - I put high scores on hotel's room that has proper working space and Travello Hotel has it. Proper working chair and table is a must in my opinion on this era of digital nomad and online working. - Pretty large bedroom size and very large bathroom also a plus points here. - There are basement and outdoor parking available. Total could be be covering maybe around 15-20 cars at maximum. Pretty decent parking capacity for hotel in Bandung. Parking space is a big concern when you are choosing hotel in Bandung as most of the hotel has very limited parking space. - At the beginning because I found the hotel was very quiet at the time and not so many guest staying, I thought the breakfast will be served in ala carte style. Turnout I was wrong because it still served in buffet (and I loves buffet). - Very attentive staff especially Mbak Ayu (actually I kind of forgot the names, so sorry Mbak) the Marketing Communication of the hotel that say hello to us during breakfast and asking if we have any comment or suggestion for our stay. Great hospitality and communication to make sure all the needs of the guest are satisfied. - They have small pool on the ground floor right beside the restaurant and it has great view facing the northern Bandung. Not the best one but still great to see the mountainous slope of northern Bandung. Check my Tripadvisor for the complete review as Google Maps has limited space for full review."
Travello Hotel,Ferona Hillary,2.0,"Not worth it for 4 star hotel.. :) dirty,bad smell for the bedroom n if u staycation on sunday the kitchen was close from 5pm"
Travello Hotel,Fery Kastanja,1.0,"I take 2 rooms. I get twin bed for both. When i ask to Front desk agent to joined our bed ,i found under the bed is very dirty and there is trash under the bed. Not only that, in bathroom i found the shower are is full mildew at the floor and wall tile. I think the room attendant never clean and maintain that area. That's why i give your hotel rate with one star.."
Travello Hotel,Angga Fadjar Satria,5.0,"The building looks sharp, modern, boutique.Wifi is average, the pool is clean, restaurant serve a nice tasty food (try the traditional dishes)..Room was nice and comfort.."
Travello Hotel,Fiqih Wulan Septianingsih,4.0,The room is clean and comfy. They also have a fast internet connection for hotel wifi. However I hope they improve the breakfast menu variation since it's a 4stars.
Travello Hotel,Peter Tyson,2.0,"This place is a bit weird! Firstly, the non-smoking rooms our group asked for smelt of stale smoke to varying degrees. Even the towels had a bit of a stale smoke smell to them - not overpowering, but annoying. Oh, the towels appeared a bit grimy and the floors had clearly been vacuumed but never moped. Second, the room service experience we had was strange! My chicken steak arrived without a knife and my son’s bolognaise was sweet. The server tried to get us to pay for the food then and there - cash - which I didn’t have to hand as my wife was out with the rest of our family. Eventaully the server gave up - language difficulties being part of the reason why. It seemed impossible to charge the meals to the room. Later on - at midnight - we got a phone call (waking us up) from the restaurant that my wife took. They were asking for payment on the room service as they were closing up! My wife told them that our money was in her parent’s room, but they were pretty persistent in expecting paymen then and there. She got them to give up after asking whether they wanted her to go wake her parents up to get to the money! Finally, at 8.30 we had a phone call asking if we would be down for breakfast. Not sure what to think of that one except it’s a little bit odd. Fitout of the hotel is fine, but it seems the systems and quality control just aren’t there. And if our room was any smokier it would change the experience from a bit odd to quite unpleasant."
Travello Hotel,Wina Winiarti,4.0,"The food is good, the rooms are superb, the hotel staff are helpfull, there's even a swimminh pool here. But the parking space is small, and they didn't provide laundry bags."
Travello Hotel,Della Marcelly,5.0,"Nice hotel, good location, but the variaty of breakfast menu should be improved i think 👍"
Travello Hotel,titien soelistyarini,4.0,"Good service, good breakfast, good location. Yet, need to improve the shower room. The exhaust fan didn't work well and the shower tab often came off, which was quite disturbing."
Travello Hotel,Aswar Hamid,5.0,"This hotel is highly recommended for you if you are looking for 4 stars hotel. The service is very good, the hotel is very clean and the food is very delicious. The hotel is located near lembang west java, so you can go to some places there near with your hotel"
Travello Hotel,AW Muklis,3.0,"pros. strategic location, clean, modern interior, nice view, friendly staff. cons. too dark in workbench, slippery bathroom floor, unvaried breakfast menu, n tasteless, narrow parking area, traffic near to the location."
Travello Hotel,meity haroen,4.0,"friendly hotel staff with warm hospitality, very nice and delicious breakfast, the hotel is very clean and the location is near to most places of interest and the room is very good. over all this is a good place to stay in bandung with affordable price. thank you!"
Travello Hotel,Reza Prawira,3.0,Got a very cheap price from Agoda. It was a shame that they said their system was error and they change my booking into non breakfast and I need to pay more for the breakfast. The service was quite nice and the place is easy to be reached.
Travello Hotel,Octavia Santoso,5.0,spacious lobby and friendly valet. But they only have 1 person in reception.Big room but had a few lights in bathroom.
Travello Hotel,Tetty Veronika J sipayung,3.0,"The rooms are okay but the food, not recommended at all... the hotel is in sukajadi area, the weather is good and still quite fresh."
Travello Hotel,ahmad maududi,1.0,"Very bad services, i should wait till one hour only to get laundry bag, even i'm down to receptionist only to ask the laundry bag, so bad ."
Travello Hotel,Barkha Harilela,5.0,FANTASTIC SERVICES EXCELLENT PRICE ALL THE STAFF VERY2 GOOD n DECENT IN TALKING. VERY2 NICE.
Travello Hotel,Hari Prasetyo Widodo,5.0,"actually i want to give 4.5, i stayed here bout 2++ weeks here, its super decent. get bored of the food here especially on lunch and dinner. breakfast are so many option, but lunch and dinner are..meh.."
Travello Hotel,Sundari Oetojo,5.0,Nice hotel. 4 star hotel. Located near UPI. On the way to lembang
Travello Hotel,Mr.jackal 87,5.0,"Woooww this is a good hotel,service great,room is clean and for a single large bed ,size for the room is large,the shower room and toilet also clean,worth it for the price in bandung,facility also good ,they have a swimming pool and sky lounge"
Travello Hotel,Ade Erine,5.0,"Nice hotel with standard price, they have a good breakfast too... Easy and strategic location to having trip in Bandung."
Travello Hotel,dili timor,3.0,"Feel like new hotel, clean and modern. But food is not good. The taste and varieties is far from standard."
Travello Hotel,SHERLY RAHMAWATI,4.0,"The place is good and comfortable. However, (sometime) the food is just so so."
Travello Hotel,Lina Lis,5.0,"I stayed at deluxe room, it's big and clean. Breakfast so many variant, so you can choose what you like. I love this hotel..."
Travello Hotel,Rie Eryanti,4.0,Spacious room for budget hotel. Less variant menu in breakfast but good swimming pool's view
Travello Hotel,Hendra Heriawan,3.0,"Room size is enough n modern ,,, but swimming pool need more 'real size',,, it looks like big bathtub :-o"
Travello Hotel,marhatmadi purwanto,4.0,"Nice place for accommodation, quiet and comfortable. Close to some food stalls and restaurants."
Travello Hotel,Aran Tobing,3.0,"The room quite small, swimpool so small and restaurant just beside the swimpool, its not quite good, ppl who wanna swim have to pass the restaurant"
Travello Hotel,Nurul Nisa Utami,4.0,A good hotel for staying and meeting
Travello Hotel,Khoirul Iman,5.0,"the service, room, meal, facility, and etc are good for me.the most impressive thing is that you can see a nice view from the hotel."
Travello Hotel,Stephen Kurniawan,4.0,located at higher bandung... the room is quite clean with adequate parking space
Travello Hotel,Admin MPP,5.0,"Nice Hotel, big room and cleanfor food and drink quiet goodsimple breakfast with annoying swimming pool"
Travello Hotel,d,4.0,"Nice hotel with premium quality, near the city located at setiabudi..just 6 km away from station..definitely would love to stay longer"
Travello Hotel,Ferry Kurniawan,5.0,"Very nice place to stay. Good price, good location, good service. Definitely will come back when visit Bandung."
Travello Hotel,Firsta Ismet,3.0,"I booked a double suite and a bit disappointed as the bathtub only available for their twin suite, Lift to basement parking was out of service, terrible kids pool bit pricey for lousy service"
Travello Hotel,Atma Putra,5.0,Rooms clean and convinientNearby activities: Not far if you need to go many places in Ledeng area
Travello Hotel,mega rizkyana,5.0,a great hotel in bandung city.. they have many meeting rooms and various type of rooms . easy access from train station.
Travello Hotel,Gugy Geniardi,5.0,promo roomrate @ 350k/night feb 2021.normal 750k-1050k.
Travello Hotel,Eduardus Pambudi,5.0,"good hotel, large room, great view, nice place to stay, perfect location, and good value"
Travello Hotel,Gani Amin,4.0,"Got a nice view from 9th floor. Good decoration, but small room inside."
Travello Hotel,Sandri Tea,5.0,The security is very friendly and very helpful in arranging the parking area and assisting when getting out of the car
Travello Hotel,Glen Lucius,4.0,"Restaurant is quite small, foods not that great but the rooms is pretty good"
Travello Hotel,Nurwachid Putrayana,5.0,Very clean and comfortable hotel. Near to Ledeng Bus Station and Lembang Recreation Area.
Travello Hotel,Sigit Widiharto,4.0,"The room is clean, large n good ..the position very strategic, but check in process very long"
Travello Hotel,Andy Daniswara,4.0,Nice place to stay but you need your own transport to make you easier reaching the place that you want to go
Travello Hotel,Bernadus Billy Riantono,5.0,"Nice View, Nice Staff , Nice Receptionist , Really Recommended if you need a hotel when you visit Bandung"
Travello Hotel,Boy Indra Gunawan,3.0,"Friendly staff. Good location, but need more environment on room cleanliness and layout"
Travello Hotel,Sam Hou,4.0,Stayed there for 2 nights. The room looked old and but overall it was ok for just staying there. Did not have chance to explore the activity.
Travello Hotel,Bramastro Wicaksono,4.0,"nothing wrong with the hotel, except for the ugly carpet under my bed and relatively small swimming pool."
Travello Hotel,Fuji Pebri,4.0,The view and food is great but the room looks old and need repair
Travello Hotel,David Ho,4.0,Was here for training class. Seems suitable for short getaway. Quite small swimming pool.
Travello Hotel,M Adha,4.0,"Love this hotel. Modern, clean, friendly satff, and good breakfast menu."
Travello Hotel,anita latifah,5.0,Ok
Travello Hotel,hatta gunawan,5.0,"Nice place, the room is big, and the price not expensive, amazing"
Travello Hotel,Ahmar Malik,4.0,Super service. Nice rooms and great food with beautiful views.
Travello Hotel,Temmy Kusumah,5.0,Over all fantastic you must try
Travello Hotel,sashri lisdiani,4.0,"Great place to stay. Love the ambience, not the food"
Travello Hotel,heny ana,5.0,"Nice hotel in setiabudi area, breakfast is googood, ambience nice, good design hotel"
Travello Hotel,Monika Ariani,4.0,Clean hotel but crowded in weekend. Staffs are friendly
Travello Hotel,Adad Afandri,4.0,"The hotel had beatifull view, but not satisfied service. The employers is not friendly."
Travello Hotel,Virsen Karundeng,5.0,"Ok, not bad for sure.. nice and cozy"
Travello Hotel,Gesang Manggala,5.0,"Cozy place with reasonable price. With a coffee shop right next to it, you really can't find a better bargain."
Travello Hotel,Fritsiana Levi K,5.0,Nice hotel friendly staff & keep doing the good things
Travello Hotel,Rivaldo Ludovicus,5.0,"I don't know how they serve you because I didn't stay there, I just have a meeting there"
Travello Hotel,Chandra Ari Tan,4.0,Cakeep
Travello Hotel,Ignas world,4.0,"Clean and helpful staffs, maybe in the future could have warm pool"
Travello Hotel,Sonny Riansyah,5.0,"Everything here just so perfect, love this hotel very much"
Travello Hotel,Dii ARTS,1.0,Not lot of parking area. my car get hit with other car there.
Travello Hotel,Oman Sughandi,5.0,Great view on the restaurant.. nice meeting room
Travello Hotel,Fir Daus,5.0,Very Clean
Travello Hotel,Adventure Anonymous,5.0,A nice hotel at Setiabudi area. Good for business meeting and leisure.
Travello Hotel,Glenn Manusama,5.0,"Good Hotel, clean, friendly staff and good location"
Travello Hotel,Ronald Baker,5.0,Beautiful place loved it very much woooooo highly recommended
Travello Hotel,Nadia Rya,4.0,"nice place for spending a night or two, for its proximity to the city"
Travello Hotel,Andy “mimin” Hidayat,5.0,awesome place with reasonable price... great hotel...
Travello Hotel,Martin Wijaya,4.0,"Place is nice, worth the value, staffs are friendly and helpful"
Travello Hotel,Crisdian Wibowo,5.0,Nice and clean room 👍
Cinnamon Hotel,icaa,1.0,"Why even for breakfast all of us must wait the waiting list without any information about capacity of breakfast time from receiptionist? why the room with 4 capacities only have 2 amenities? Why the emergency door can't be access from the outdoor? Sorry, but 1 star must be better."
Cinnamon Hotel,Siti Rezani,5.0,"Its nice for staycation here, the design have europe style and i really love it and the rooms not too small not too big for deluxe..the brakfast so so, the pool too small"
Cinnamon Hotel,Faisal Sir,4.0,"I took room 90 degree. The bathroom is transparent which is only good for a couple, not good for parents with children. Breakfast menu is less. The location of hotel is exactly beside the main road, the voice of motorcycle is really annoying in the night."
Cinnamon Hotel,Arief Adrianto,5.0,"Correct place to find a syariah accommodation in northern area of Bandung city. Rooms are clean and tidy. Sajadah (praying mat), sarung (man praying pants) and mukena (women praying clothes) are available inside rooms as their hotel facilities. You will hear a Quran recitals in hotel lobby and corridors throughout the day. Foods is ok as well. Musholla is available in the roof top of the hotel, which you can see also nice view of Bandung city."
Cinnamon Hotel,dwi fajar Saputri,5.0,"Syaria hotel with zam zam water as welcome drink. Comfortable and clean room, we stay in double queen room. We have enough space for solat (ps, they provide sajadah, mukena and sarung also Quran), and play (I have 2 toddlers)."
Cinnamon Hotel,Captain ID,4.0,When I had a lunch here and the food was fine
Cinnamon Hotel,Amelinda Febianti,4.0,"Thumbs up for the service staffs, from the doorman, security, and front office, all the staffs are very polite and helpful. The only downside is they only have kids pool on the rooftop with no supporting facilities such as changing room/shower. Breakfast is so so, not so many option. Given that this is a sharia hotel, so mind for your clothing manner"
Cinnamon Hotel,Love Life,5.0,"Hotel with Roof Top Private pool which has view of Lembang city & Tangkuban Parahu Mountain. *)Luar biasa Hotel Syariah ini. Welcome drink nya air zam2 dan kurma, staff & crewnya berpakaian islami, adzan berkumandang di waktu aholat, kamar mandi/toilet nya islami, Selalu diadakan pengajian gratis di ballroom-nya, interior bintang 5. Semoga selalu full Occupancy-nya ya. Aamiin YaRobbal'Alamiin. #Pool #Private #PrivatePool #Design #CinnamonHotel #HalalHotel #HotelSyariah #Property #ArchitectureDesign #View #Bandung #Photo #Idea #Layout #Architect #Syariah"
Cinnamon Hotel,Esti Rahmadini,5.0,"Love the atmosphere! They take care of your tummy well, great buffet breakfast, spacious grand deluxe rooms (their beds awesome) and beautiful interiors.. And the best of all, this is Syariah Hotel. Halal foods and beverages, guaranteed 👍👍👍❤❤❤"
Cinnamon Hotel,Septi Riyanningsih,5.0,The best syariah hotel in Bandung. We stay with the best facilities and afordable price. Thank you Cinnamon Hotel 👍
Cinnamon Hotel,Elfan Nofiari,5.0,"Nice clean luxury family room, friendly staff, rooftop BBQ and kids pool, large musholla, adzan call, great breakfast and room service menu. Car parking is limited, located on a very busy road."
Cinnamon Hotel,Ledia,4.0,"Nice place, syariah based hotel. The room is clean with middle East design. Friendly staff, nice meals. The best is they accept person with disability to work there. Thanks for having them"
Cinnamon Hotel,owmn 77,4.0,"A very nice syariah Hotel in Bandung with big size of bed in each room and no unpleasant smell when you enter the door, cleanliness is well maintained. They provide each room with Alquran and mukena also you can hear adzan inside the room. They only hv 1 meeting room for 50 people with round table but a bit tight dow."
Cinnamon Hotel,Fajrin Firmansyah,5.0,"One of the best syariah hotel in Bandung area. Located near Ledeng terminal in north area of Bandung. This place also near UPI campus. The service at the hotel is very good and the employees are very kind and helpful. When you are first coming at the lobby, you will be served dates and zam zam water while you are waiting your check-in process. The breakfast also excellent and when you check-out, you can get cinnamon seed as present."
Cinnamon Hotel,agung putra,5.0,"One of the best hotel in Bandung with religius atmosphere, the adzan will sound in your room, it has a prayer mat and sarong for the guest to take their prayer"
Cinnamon Hotel,Silvi Angelia May Purba,5.0,"Overall, really good. Friendly frontdesk, cozy rooms, and the furniturevwill give you arabian vibes. My only concern is the wifi. The hotel wifi have no internet access during my visit there"
Cinnamon Hotel,Sinta Aristi,5.0,"Cinnamon good services, nice and comfortable room, clean bathroom, unique hotel, near with some of interesting places. Wishing more variation the breakfast and dessert menu. Must try to stay. We will come again next time. Thanks Cinnamon."
Cinnamon Hotel,Taufan Austraman,5.0,Nice syariah hotels between Lembang and Bandung. provides clean kits for pray
Cinnamon Hotel,dhea yodiansyah,5.0,"Great place to stay, not too crowded"
Cinnamon Hotel,Syauqi Dahlan,5.0,"a 3-star hotel with a 5-star hotel experience. room is luxurious, the view is amazing, the service is great. they also serve sajadah and quran for muslims. overall its the greatest boutique hotel i've ever visited."
Cinnamon Hotel,Novarian Budisetyowati,5.0,"One of the best syariah hotel at Bandung. Located near the Ledeng terminal so that this place easily can be found from the main road. When you are going to check in, you can get the zam zam water and dates while you are waiting the check in process. The breakfast at this is also really delicious. When we were going to check out, the employee asked us bring cinnamon seeds as a souvenir from the hotel. You can get it for free and plant it in your house or garden."
Cinnamon Hotel,AsHa,5.0,"Big room, although there is no swimming pool for adult, breakfast not too many options but the mashed potato is very delicious"
Cinnamon Hotel,AH,4.0,"really lovable place, many exclusive facilities and service, delicious dishes"
Cinnamon Hotel,Ariana Nur Akbar,5.0,"The place was soothing, nice and comforting, the dining was great, above expectation. The kind of best choice to stay at, in Lembang, Bandung, West Java. Expecting regularly to stay when in Bandung."
Cinnamon Hotel,Ruby Viryanthara,5.0,Stayed here for two nights for hajj preparation arranged by MQ Travel. Not far from home. There's a small mosque just behind Ledeng terminal.
Cinnamon Hotel,Rilia Halim,4.0,"A comfort is a must for a hotel, and Cinnamon Hotel gave the best of comfort so far.Spacious bed and fluffy pillow gave us the best experience of relaxing and resting."
Cinnamon Hotel,anie rz,5.0,Another great hotel near lembang...n the staff very nice...barakallah❤
Cinnamon Hotel,Delif Subeki,4.0,Nice room and good taste of breakfast. But the Bbq on the top floor was unsatisfied and too much expensive
Cinnamon Hotel,mige harimurti,4.0,Good and friendly staff. Clean room. There is a roof top area for family gathering or other event.
Cinnamon Hotel,Chyntia Salim,5.0,"The service was awesome! (And they gave out free dates too, that's a plus point haha) totally worth the price!"
Cinnamon Hotel,Kopi Gununghalu,5.0,"Best place for family n businessGood Hospitality ... great food, nice view ... Bandung is Cinnamon Boutique Syariah Hotel, safe and commfort"
Cinnamon Hotel,Akram Yonda,5.0,"Best hotel with islamic atmosphere, adzan in the room, nice staff, nice room, there are so much a great thing in this place"
Cinnamon Hotel,Fridaandini Hutabarat,5.0,Mashaa Allah very recomended hotel. Yummy foods and cozy place. Baraakallah
Cinnamon Hotel,ismail ibn talimin,5.0,"The best hotel syariah I ever see. the most comfortable, coolest, most extraordinary and most beautiful place I visited"
Cinnamon Hotel,Ani Ismayani,5.0,"Great place, nice food, and good people. Love the situation here, very relaxing and religious."
Cinnamon Hotel,Rifki Priansyah,5.0,"The Best hotel syariah. Very comfortable, clean and religius . The lobby is very beautifull."
Cinnamon Hotel,Adi,4.0,Nice cozy hotel with nice place to hangout on rooftop
Cinnamon Hotel,adhi subekti,5.0,"Nice place,,good atmosfere..nice hospitality..very islami..n good boutiqe syariah only one i think.."
Cinnamon Hotel,adi nugroho,4.0,Nice concept hotel.. very middle eastern..
Cinnamon Hotel,Vicky Fernanda,4.0,"Nice staff, nice lobby, n nice room. Thumbs up 👍"
Cinnamon Hotel,Roslan Zaris,4.0,Pendemic impact still exist especially on utility maintenance and service
Cinnamon Hotel,Ima Rachmawati,5.0,"I was surprised with the room, luxury room with a low price. It also provides mukenah and Quran.. Alhamdulillah.."
Cinnamon Hotel,R Sjahrun,5.0,Very good Syaria hotel... with arabic ambeince... every floor has mushalla
Cinnamon Hotel,Tisa Selma,5.0,Very nice hotel. But they sell sisha which is haram in Islam.
